kanton	gemeinde	dev_2011	sudest_2011	total_2011	dev_2010	sudest_2010	total_2010
Schaffhausen	Neuhausen am Rheinfall	10	-	10	18	-	18
Schaffhausen	Stein am Rhein	5	-	5	7	-	7
Schaffhausen	Thayngen	2	-	2	4	-	4
Schwyz		13	5	18	21	8	29
Schwyz	Freienbach	13	5	18	21	4	25
Schwyz	Wollerau	-	-	-	-	4	4
Solothurn		114	8	122	144	7	151
Solothurn	Biberist	15	5	20	18	4	22
Solothurn	Dornach	8	-	8	..	..	..
Solothurn	Grenchen	6	-	6	27	-	27
Solothurn	Laupersdorf	1	-	1	1	-	1
Solothurn	Olten	54	3	57	70	-	70
Solothurn	Solothurn	28	-	28	27	3	30
Solothurn	Zuchwil	2	-	2	3	-	3
St.Gallen		470	10	480	491	10	501
St.Gallen	Altstätten	1	-	1	2	-	2
St.Gallen	Goldach	10	-	10	..	..	..
St.Gallen	Rapperswil-Jona	178	10	188	228	10	238
St.Gallen	St. Gallen	279	-	279	234	-	234
St.Gallen	St. Margrethen	-	-	-	6	-	6
St.Gallen	Uznach	1	-	1	1	-	1
St.Gallen	Wil (SG)	-	-	-	10	-	10
St.Gallen	Wittenbach	1	-	1	10	-	10
Thurgau		80	-	80	95	-	95
Thurgau	Frauenfeld	80	-	80	80	-	80
Thurgau	Kradolf-Schönenberg	..	..	..	3	-	3
Thurgau	Romanshorn	..	..	..	12	-	12
Ticino		88	3	91	86	3	88
Ticino	Bellinzona	11	-	11	9	-	9
Ticino	Bioggio	34	-	34	32	-	32
Ticino	Breggia	-	-	-	1	-	1
Ticino	Cadempino	2	-	2	..	..	..
Ticino	Cureglia	2	-	2	..	..	..
Ticino	Lugano	38	3	40	43	3	46
Ticino	Sementina	-	-	-	1	-	1
Ticino	Sessa	1	-	1	..	..	..
Valais		77	1	78	66	1	67
Valais	Brig-Glis	5	-	5	..	..	..
Valais	Gampel-Bratsch	-	-	-	2	-	2
Valais	Mörel-Filet	-	-	-	1	-	1
Valais	Sierre	25	-	25	25	-	25
Valais	Sion	34	1	35	39	1	40
Valais	Visp	13	-	13	..	..	..
Valais	Zermatt	-	-	-	1	-	1
Vaud		623	36	660	605	15	620
Vaud	Belmont-sur-Lausanne	3	-	3	2	-	2
Vaud	Bex	-	-	-	11	-	11
Vaud	Bursinel	-	-	-	-	-	-
Vaud	Bussigny-près-Lausanne	5	-	5	7	-	7
Vaud	Chavannes-près-Renens	-	-	-	-	-	-
Vaud	Coppet	5	-	5	..	..	..
Vaud	Crissier	-	4	4	1	8	9
Vaud	Echandens	20	-	20	..	..	..
Vaud	Ecublens (VD)	7	-	7	11	-	11
Vaud	Epalinges	7	-	7	-	-	-
Vaud	Grandson	-	-	-	2	-	2
Vaud	Jongny	-	-	-	-	-	-
Vaud	La Tour-de-Peilz	10	-	10	10	-	10
Vaud	Lausanne	329	32	361	331	-	331
Vaud	Montreux	27	-	27	38	-	38
Vaud	Morges	41	-	41	50	-	50
Vaud	Pully	9	-	9	28	1	29
Vaud	Renens (VD)	15	-	15	17	-	17
Vaud	Treycovagnes	-	-	-	-	-	-
Vaud	Vevey	89	-	89	64	6	70
Vaud	Yverdon-les-Bains	57	-	57	32	-	32
Zug		380	-	380	1'165	1	1'166
Zug	Baar	150	-	150	270	-	270
Zug	Cham	8	-	8	19	-	19
